soc,title,p25_usd,median_usd,p75_usd,p90_usd,source_url
47-2142,Paperhangers,44890,52140,60180,69050,https://officeblues.net/salaries/paperhangers-47-2142
23-2011,Paralegals and Legal Assistants,50340,62890,80080,101500,https://officeblues.net/salaries/paralegals-and-legal-assistants-23-2011
29-2043,Paramedics,49660,60600,73470,84850,https://officeblues.net/salaries/paramedics-29-2043
53-6021,Parking Attendants,29960,35150,37670,44550,https://officeblues.net/salaries/parking-attendants-53-6021
33-3041,Parking Enforcement Workers,39870,46730,60490,75340,https://officeblues.net/salaries/parking-enforcement-workers-33-3041
41-2022,Parts Salespersons,33110,38630,49850,62890,https://officeblues.net/salaries/parts-salespersons-41-2022
53-6061,Passenger Attendants,31240,37720,41680,46590,https://officeblues.net/salaries/passenger-attendants-53-6061
51-4062,"Patternmakers, Metal and Plastic",49070,58000,69960,82590,https://officeblues.net/salaries/patternmakers-metal-and-plastic-51-4062
51-7032,"Patternmakers, Wood",41170,49630,59350,83780,https://officeblues.net/salaries/patternmakers-wood-51-7032
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",45610,53340,64720,92230,https://officeblues.net/salaries/paving-surfacing-and-tamping-equipment-operators-47-2071
43-3051,Payroll and Timekeeping Clerks,47990,58260,69600,81350,https://officeblues.net/salaries/payroll-and-timekeeping-clerks-43-3051
29-1221,"Pediatricians, General",138290,210040,273700,338500,https://officeblues.net/salaries/pediatricians-general-29-1221
39-9099,"Personal Care and Service Workers, All Other",34180,41600,42710,48910,https://officeblues.net/salaries/personal-care-and-service-workers-all-other-39-9099
13-2052,Personal Financial Advisors,72440,105070,176790,357020,https://officeblues.net/salaries/personal-financial-advisors-13-2052
11-9179,"Personal Service Managers, All Other",54130,69770,94440,118710,https://officeblues.net/salaries/personal-service-managers-all-other-11-9179
37-2021,Pest Control Workers,37440,45250,49600,61890,https://officeblues.net/salaries/pest-control-workers-37-2021
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",39160,46340,51240,61420,https://officeblues.net/salaries/pesticide-handlers-sprayers-and-applicators-vegetation-37-3012
17-2171,Petroleum Engineers,106270,144910,197920,253200,https://officeblues.net/salaries/petroleum-engineers-17-2171
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",77510,96710,106320,115880,https://officeblues.net/salaries/petroleum-pump-system-operators-refinery-operators-and-gaugers-51-8093
29-1051,Pharmacists,129380,140910,161840,174230,https://officeblues.net/salaries/pharmacists-29-1051
31-9095,Pharmacy Aides,34980,37680,43640,56010,https://officeblues.net/salaries/pharmacy-aides-31-9095
29-2052,Pharmacy Technicians,37850,45750,49990,61040,https://officeblues.net/salaries/pharmacy-technicians-29-2052
25-1126,"Philosophy and Religion Teachers, Postsecondary",62600,80260,104770,139580,https://officeblues.net/salaries/philosophy-and-religion-teachers-postsecondary-25-1126
31-9097,Phlebotomists,38190,45230,48930,58780,https://officeblues.net/salaries/phlebotomists-31-9097
27-4021,Photographers,36050,44660,62740,91810,https://officeblues.net/salaries/photographers-27-4021
51-9151,Photographic Process Workers and Processing Machine Operators,35170,40610,50150,68800,https://officeblues.net/salaries/photographic-process-workers-and-processing-machine-operators-51-9151
19-2099,"Physical Scientists, All Other",86620,122570,161890,195190,https://officeblues.net/salaries/physical-scientists-all-other-19-2099
31-2022,Physical Therapist Aides,30410,35240,38810,47780,https://officeblues.net/salaries/physical-therapist-aides-31-2022
31-2021,Physical Therapist Assistants,59820,68380,78680,89510,https://officeblues.net/salaries/physical-therapist-assistants-31-2021
29-1123,Physical Therapists,86160,102760,121160,135140,https://officeblues.net/salaries/physical-therapists-29-1123
29-1071,Physician Assistants,120670,135880,163980,190280,https://officeblues.net/salaries/physician-assistants-29-1071
29-1229,"Physicians, All Other",102930,265930,378770,452360,https://officeblues.net/salaries/physicians-all-other-29-1229
29-1222,"Physicians, Pathologists",186300,312400,372780,449970,https://officeblues.net/salaries/physicians-pathologists-29-1222
19-2012,Physicists,111720,172250,222760,274110,https://officeblues.net/salaries/physicists-19-2012
25-1054,"Physics Teachers, Postsecondary",74050,100310,132650,177850,https://officeblues.net/salaries/physics-teachers-postsecondary-25-1054
47-2072,Pile Driver Operators,58510,73300,106430,124600,https://officeblues.net/salaries/pile-driver-operators-47-2072
47-2151,Pipelayers,43980,49000,61400,80170,https://officeblues.net/salaries/pipelayers-47-2151
51-8099,"Plant and System Operators, All Other",48900,62470,78480,94560,https://officeblues.net/salaries/plant-and-system-operators-all-other-51-8099
47-2161,Plasterers and Stucco Masons,47970,57660,71310,96710,https://officeblues.net/salaries/plasterers-and-stucco-masons-47-2161
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",37260,43960,49600,60370,https://officeblues.net/salaries/plating-machine-setters-operators-and-tenders-metal-and-plastic-51-4193
47-2152,"Plumbers, Pipefitters, and Steamfitters",50190,63800,85110,108420,https://officeblues.net/salaries/plumbers-pipefitters-and-steamfitters-47-2152
29-1081,Podiatrists,103730,160300,225910,309670,https://officeblues.net/salaries/podiatrists-29-1081
33-3051,Police and Sheriff's Patrol Officers,59290,76210,97600,115120,https://officeblues.net/salaries/police-and-sheriffs-patrol-officers-33-3051
25-1065,"Political Science Teachers, Postsecondary",73260,98070,129130,174660,https://officeblues.net/salaries/political-science-teachers-postsecondary-25-1065
19-3094,Political Scientists,114030,142080,174180,195190,https://officeblues.net/salaries/political-scientists-19-3094
43-5051,Postal Service Clerks,56740,62130,70890,75030,https://officeblues.net/salaries/postal-service-clerks-43-5051
43-5052,Postal Service Mail Carriers,48940,60550,81000,81040,https://officeblues.net/salaries/postal-service-mail-carriers-43-5052
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",48880,58470,75030,75280,https://officeblues.net/salaries/postal-service-mail-sorters-processors-and-processing-machine-operators-43-5053
11-9131,Postmasters and Mail Superintendents,90650,96660,102960,111740,https://officeblues.net/salaries/postmasters-and-mail-superintendents-11-9131
25-1199,"Postsecondary Teachers, All Other",59290,77640,106770,160700,https://officeblues.net/salaries/postsecondary-teachers-all-other-25-1199
51-4052,"Pourers and Casters, Metal",45190,51810,61700,72040,https://officeblues.net/salaries/pourers-and-casters-metal-51-4052
51-8012,Power Distributors and Dispatchers,90200,106730,130940,154270,https://officeblues.net/salaries/power-distributors-and-dispatchers-51-8012
51-8013,Power Plant Operators,79690,102040,119080,131940,https://officeblues.net/salaries/power-plant-operators-51-8013
49-9069,"Precision Instrument and Equipment Repairers, All Other",51070,68990,84390,102990,https://officeblues.net/salaries/precision-instrument-and-equipment-repairers-all-other-49-9069
51-5111,Prepress Technicians and Workers,40930,48690,58580,66080,https://officeblues.net/salaries/prepress-technicians-and-workers-51-5111
25-2011,"Preschool Teachers, Except Special Education",34530,38140,47550,61390,https://officeblues.net/salaries/preschool-teachers-except-special-education-25-2011
51-6021,"Pressers, Textile, Garment, and Related Materials",29870,35060,37940,43050,https://officeblues.net/salaries/pressers-textile-garment-and-related-materials-51-6021
51-5113,Print Binding and Finishing Workers,36910,42290,49130,59150,https://officeblues.net/salaries/print-binding-and-finishing-workers-51-5113
51-5112,Printing Press Operators,37390,45780,55740,63520,https://officeblues.net/salaries/printing-press-operators-51-5112
33-9021,Private Detectives and Investigators,40700,51220,73990,97630,https://officeblues.net/salaries/private-detectives-and-investigators-33-9021
21-1092,Probation Officers and Correctional Treatment Specialists,54250,66270,84780,107790,https://officeblues.net/salaries/probation-officers-and-correctional-treatment-specialists-21-1092
43-3061,Procurement Clerks,43420,50580,60080,68620,https://officeblues.net/salaries/procurement-clerks-43-3061
27-2012,Producers and Directors,62670,90360,134800,198540,https://officeblues.net/salaries/producers-and-directors-27-2012
51-9199,"Production Workers, All Other",36030,40110,49010,61530,https://officeblues.net/salaries/production-workers-all-other-51-9199
43-5061,"Production, Planning, and Expediting Clerks",47820,59650,75000,86000,https://officeblues.net/salaries/production-planning-and-expediting-clerks-43-5061
13-1082,Project Management Specialists,78440,102320,133100,167970,https://officeblues.net/salaries/project-management-specialists-13-1082
43-9081,Proofreaders and Copy Markers,41170,51120,62390,79290,https://officeblues.net/salaries/proofreaders-and-copy-markers-43-9081
13-2020,Property Appraisers and Assessors,50970,67960,92760,122660,https://officeblues.net/salaries/property-appraisers-and-assessors-13-2020
11-9141,"Property, Real Estate, and Community Association Managers",50720,69990,97910,139680,https://officeblues.net/salaries/property-real-estate-and-community-association-managers-11-9141
29-1024,Prosthodontists,252050,311180,333480,344750,https://officeblues.net/salaries/prosthodontists-29-1024
33-9099,"Protective Service Workers, All Other",35420,42540,54910,74590,https://officeblues.net/salaries/protective-service-workers-all-other-33-9099
31-1133,Psychiatric Aides,37750,44910,49950,60440,https://officeblues.net/salaries/psychiatric-aides-31-1133
29-2053,Psychiatric Technicians,38430,45130,50160,60750,https://officeblues.net/salaries/psychiatric-technicians-29-2053
29-1223,Psychiatrists,154150,281870,362740,446520,https://officeblues.net/salaries/psychiatrists-29-1223
19-3039,"Psychologists, All Other",68850,110840,147240,168520,https://officeblues.net/salaries/psychologists-all-other-19-3039
25-1066,"Psychology Teachers, Postsecondary",63400,80340,105920,153600,https://officeblues.net/salaries/psychology-teachers-postsecondary-25-1066
11-2032,Public Relations Managers,106580,146910,204520,284990,https://officeblues.net/salaries/public-relations-managers-11-2032
27-3031,Public Relations Specialists,56260,74750,100370,135150,https://officeblues.net/salaries/public-relations-specialists-27-3031
43-5031,Public Safety Telecommunicators,45210,53040,64260,79830,https://officeblues.net/salaries/public-safety-telecommunicators-43-5031
53-7072,"Pump Operators, Except Wellhead Pumpers",47560,61770,77210,91820,https://officeblues.net/salaries/pump-operators-except-wellhead-pumpers-53-7072
11-3061,Purchasing Managers,115550,148080,182270,223280,https://officeblues.net/salaries/purchasing-managers-11-3061
29-1124,Radiation Therapists,92060,105310,126340,156710,https://officeblues.net/salaries/radiation-therapists-29-1124
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",50580,63520,82370,103990,https://officeblues.net/salaries/radio-cellular-and-tower-equipment-installers-and-repairers-49-2021
29-2034,Radiologic Technologists and Technicians,64810,80110,98750,118660,https://officeblues.net/salaries/radiologic-technologists-and-technicians-29-2034
29-1224,Radiologists,216800,420860,506010,594410,https://officeblues.net/salaries/radiologists-29-1224
49-3043,Rail Car Repairers,54520,67530,84570,95100,https://officeblues.net/salaries/rail-car-repairers-49-3043
53-4099,"Rail Transportation Workers, All Other",47570,56360,74090,83190,https://officeblues.net/salaries/rail-transportation-workers-all-other-53-4099
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",52780,60600,80360,100270,https://officeblues.net/salaries/rail-yard-engineers-dinkey-operators-and-hostlers-53-4013
47-4061,Rail-Track Laying and Maintenance Equipment Operators,51280,70070,81670,87420,https://officeblues.net/salaries/rail-track-laying-and-maintenance-equipment-operators-47-4061
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",57820,68840,76590,86590,https://officeblues.net/salaries/railroad-brake-signal-and-switch-operators-and-locomotive-firers-53-4022
53-4031,Railroad Conductors and Yardmasters,65610,78000,83820,109770,https://officeblues.net/salaries/railroad-conductors-and-yardmasters-53-4031
41-9021,Real Estate Brokers,46480,73220,103360,143300,https://officeblues.net/salaries/real-estate-brokers-41-9021
41-9022,Real Estate Sales Agents,40040,52830,82020,123590,https://officeblues.net/salaries/real-estate-sales-agents-41-9022
43-4171,Receptionists and Information Clerks,33960,38010,45130,49950,https://officeblues.net/salaries/receptionists-and-information-clerks-43-4171
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",59990,77270,101450,134890,https://officeblues.net/salaries/recreation-and-fitness-studies-teachers-postsecondary-25-1193
39-9032,Recreation Workers,31780,36560,43470,50410,https://officeblues.net/salaries/recreation-workers-39-9032
29-1125,Recreational Therapists,50240,61960,79930,100420,https://officeblues.net/salaries/recreational-therapists-29-1125
49-3092,Recreational Vehicle Service Technicians,44920,52000,63890,77960,https://officeblues.net/salaries/recreational-vehicle-service-technicians-49-3092
49-9045,"Refractory Materials Repairers, Except Brickmasons",50050,61290,75000,86510,https://officeblues.net/salaries/refractory-materials-repairers-except-brickmasons-49-9045
53-7081,Refuse and Recyclable Material Collectors,39080,49690,62020,75900,https://officeblues.net/salaries/refuse-and-recyclable-material-collectors-53-7081
29-1141,Registered Nurses,80330,97550,112350,137470,https://officeblues.net/salaries/registered-nurses-29-1141
21-1015,Rehabilitation Counselors,38770,46850,59260,77170,https://officeblues.net/salaries/rehabilitation-counselors-21-1015
47-2171,Reinforcing Iron and Rebar Workers,47990,58970,77320,104540,https://officeblues.net/salaries/reinforcing-iron-and-rebar-workers-47-2171
21-2099,"Religious Workers, All Other",35310,45280,60390,93900,https://officeblues.net/salaries/religious-workers-all-other-21-2099
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,37850,44390,59640,78150,https://officeblues.net/salaries/reservation-and-transportation-ticket-agents-and-travel-clerks-43-4181
39-9041,Residential Advisors,35510,42240,49920,61060,https://officeblues.net/salaries/residential-advisors-39-9041
29-1126,Respiratory Therapists,74520,82280,98730,118050,https://officeblues.net/salaries/respiratory-therapists-29-1126
41-2031,Retail Salespersons,29900,35410,38670,47890,https://officeblues.net/salaries/retail-salespersons-41-2031
49-9096,Riggers,48210,62640,80180,97850,https://officeblues.net/salaries/riggers-49-9096
47-5051,"Rock Splitters, Quarry",42670,48740,60030,67710,https://officeblues.net/salaries/rock-splitters-quarry-47-5051
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",44020,50140,61880,70310,https://officeblues.net/salaries/rolling-machine-setters-operators-and-tenders-metal-and-plastic-51-4023
47-5043,"Roof Bolters, Mining",71390,78540,81860,92830,https://officeblues.net/salaries/roof-bolters-mining-47-5043
47-2181,Roofers,46260,55440,65390,81720,https://officeblues.net/salaries/roofers-47-2181
47-5012,"Rotary Drill Operators, Oil and Gas",53810,67890,81360,101860,https://officeblues.net/salaries/rotary-drill-operators-oil-and-gas-47-5012
47-5071,"Roustabouts, Oil and Gas",38850,46960,58120,64530,https://officeblues.net/salaries/roustabouts-oil-and-gas-47-5071
53-5011,Sailors and Marine Oilers,41430,51520,67590,83620,https://officeblues.net/salaries/sailors-and-marine-oilers-53-5011
41-9099,"Sales and Related Workers, All Other",36860,48280,70650,97910,https://officeblues.net/salaries/sales-and-related-workers-all-other-41-9099
41-9031,Sales Engineers,92890,124900,161230,195270,https://officeblues.net/salaries/sales-engineers-41-9031
11-2022,Sales Managers,100360,148270,207340,290540,https://officeblues.net/salaries/sales-managers-11-2022
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",47670,69990,100480,148840,https://officeblues.net/salaries/sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel-41-3091
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",50470,72080,99640,137550,https://officeblues.net/salaries/sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products-41-4012
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",75030,104920,158160,200440,https://officeblues.net/salaries/sales-representatives-wholesale-and-manufacturing-technical-and-scientific-products-41-4011
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",36510,42770,48620,58170,https://officeblues.net/salaries/sawing-machine-setters-operators-and-tenders-wood-51-7041
33-9094,School Bus Monitors,31760,35100,37760,43250,https://officeblues.net/salaries/school-bus-monitors-33-9094
19-3034,School Psychologists,77470,95990,120310,142330,https://officeblues.net/salaries/school-psychologists-19-3034
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",59980,72040,92570,107600,https://officeblues.net/salaries/secondary-school-teachers-except-special-and-careertechnical-education-25-2031
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",38830,47540,58000,66350,https://officeblues.net/salaries/secretaries-and-administrative-assistants-except-legal-medical-and-executive-43-6014
41-3031,"Securities, Commodities, and Financial Services Sales Agents",56540,78660,129950,212880,https://officeblues.net/salaries/securities-commodities-and-financial-services-sales-agents-41-3031
49-2098,Security and Fire Alarm Systems Installers,47820,60070,73690,81150,https://officeblues.net/salaries/security-and-fire-alarm-systems-installers-49-2098
33-9032,Security Guards,35210,38020,46200,58840,https://officeblues.net/salaries/security-guards-33-9032
25-3021,Self-Enrichment Teachers,36380,46800,63210,92840,https://officeblues.net/salaries/self-enrichment-teachers-25-3021
51-9141,Semiconductor Processing Technicians,45640,51430,65010,82540,https://officeblues.net/salaries/semiconductor-processing-technicians-51-9141
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",44410,51610,63930,79750,https://officeblues.net/salaries/separating-filtering-clarifying-precipitating-and-still-machine-setters-operators-and-tenders-51-9012
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,43530,49880,61060,73490,https://officeblues.net/salaries/septic-tank-servicers-and-sewer-pipe-cleaners-47-4071
47-5013,"Service Unit Operators, Oil and Gas",47480,58160,73230,97560,https://officeblues.net/salaries/service-unit-operators-oil-and-gas-47-5013
27-1027,Set and Exhibit Designers,52830,75240,104030,135410,https://officeblues.net/salaries/set-and-exhibit-designers-27-1027
51-6051,"Sewers, Hand",33330,36480,40720,47570,https://officeblues.net/salaries/sewers-hand-51-6051
51-6031,Sewing Machine Operators,31960,36670,42830,47840,https://officeblues.net/salaries/sewing-machine-operators-51-6031
39-5093,Shampooers,28550,32600,35550,38240,https://officeblues.net/salaries/shampooers-39-5093
47-2211,Sheet Metal Workers,47830,61800,81610,105650,https://officeblues.net/salaries/sheet-metal-workers-47-2211
53-5031,Ship Engineers,82130,109530,135760,165490,https://officeblues.net/salaries/ship-engineers-53-5031
43-5071,"Shipping, Receiving, and Inventory Clerks",38200,45260,51570,62190,https://officeblues.net/salaries/shipping-receiving-and-inventory-clerks-43-5071
51-6041,Shoe and Leather Workers and Repairers,31270,37800,45670,52550,https://officeblues.net/salaries/shoe-and-leather-workers-and-repairers-51-6041
51-6042,Shoe Machine Operators and Tenders,29090,35650,43090,47700,https://officeblues.net/salaries/shoe-machine-operators-and-tenders-51-6042
53-3053,Shuttle Drivers and Chauffeurs,32710,37290,45700,55070,https://officeblues.net/salaries/shuttle-drivers-and-chauffeurs-53-3053
49-9097,Signal and Track Switch Repairers,79720,92460,99320,119550,https://officeblues.net/salaries/signal-and-track-switch-repairers-49-9097
39-5094,Skincare Specialists,36040,45330,59700,82050,https://officeblues.net/salaries/skincare-specialists-39-5094
51-3023,Slaughterers and Meat Packers,36150,40130,46870,51090,https://officeblues.net/salaries/slaughterers-and-meat-packers-51-3023
11-9151,Social and Community Service Managers,64290,80390,103200,132260,https://officeblues.net/salaries/social-and-community-service-managers-11-9151
21-1093,Social and Human Service Assistants,38150,45930,54350,63290,https://officeblues.net/salaries/social-and-human-service-assistants-21-1093
19-4061,Social Science Research Assistants,48620,61990,77760,102070,https://officeblues.net/salaries/social-science-research-assistants-19-4061
25-1069,"Social Sciences Teachers, Postsecondary, All Other",55910,72990,102990,164420,https://officeblues.net/salaries/social-sciences-teachers-postsecondary-all-other-25-1069
19-3099,"Social Scientists and Related Workers, All Other",80860,101110,129960,160300,https://officeblues.net/salaries/social-scientists-and-related-workers-all-other-19-3099
25-1113,"Social Work Teachers, Postsecondary",61170,77570,100400,126790,https://officeblues.net/salaries/social-work-teachers-postsecondary-25-1113
21-1029,"Social Workers, All Other",51900,71900,97040,115610,https://officeblues.net/salaries/social-workers-all-other-21-1029
19-3041,Sociologists,82300,106030,137420,172550,https://officeblues.net/salaries/sociologists-19-3041
25-1067,"Sociology Teachers, Postsecondary",64990,84290,110650,160140,https://officeblues.net/salaries/sociology-teachers-postsecondary-25-1067
15-1252,Software Developers,105210,135980,171980,214670,https://officeblues.net/salaries/software-developers-15-1252
15-1253,Software Quality Assurance Analysts and Testers,80310,104300,133180,167010,https://officeblues.net/salaries/software-quality-assurance-analysts-and-testers-15-1253
19-1013,Soil and Plant Scientists,61660,78850,103740,138120,https://officeblues.net/salaries/soil-and-plant-scientists-19-1013
47-2231,Solar Photovoltaic Installers,46700,53140,62870,79970,https://officeblues.net/salaries/solar-photovoltaic-installers-47-2231
27-4014,Sound Engineering Technicians,49910,73130,100280,137370,https://officeblues.net/salaries/sound-engineering-technicians-27-4014
25-2059,"Special Education Teachers, All Other",60930,76580,99690,120080,https://officeblues.net/salaries/special-education-teachers-all-other-25-2059
25-2052,"Special Education Teachers, Kindergarten and Elementary School",59710,65120,80280,103010,https://officeblues.net/salaries/special-education-teachers-kindergarten-and-elementary-school-25-2052
25-2057,"Special Education Teachers, Middle School",60000,66810,82800,102510,https://officeblues.net/salaries/special-education-teachers-middle-school-25-2057
25-2051,"Special Education Teachers, Preschool",52210,64830,91660,130040,https://officeblues.net/salaries/special-education-teachers-preschool-25-2051
25-2058,"Special Education Teachers, Secondary School",60180,74260,93730,109100,https://officeblues.net/salaries/special-education-teachers-secondary-school-25-2058
27-1014,Special Effects Artists and Animators,75490,102030,139130,177110,https://officeblues.net/salaries/special-effects-artists-and-animators-27-1014
29-1127,Speech-Language Pathologists,77730,97870,114570,134160,https://officeblues.net/salaries/speech-language-pathologists-29-1127
51-8021,Stationary Engineers and Boiler Operators,63160,78620,101150,125390,https://officeblues.net/salaries/stationary-engineers-and-boiler-operators-51-8021
43-9111,Statistical Assistants,42840,50330,63950,81990,https://officeblues.net/salaries/statistical-assistants-43-9111
15-2041,Statisticians,82220,105650,141490,174050,https://officeblues.net/salaries/statisticians-15-2041
53-7065,Stockers and Order Fillers,34450,37330,44650,49260,https://officeblues.net/salaries/stockers-and-order-fillers-53-7065
47-2022,Stonemasons,45450,57390,71630,86180,https://officeblues.net/salaries/stonemasons-47-2022
47-2221,Structural Iron and Steel Workers,49880,62780,82660,108260,https://officeblues.net/salaries/structural-iron-and-steel-workers-47-2221
51-2041,Structural Metal Fabricators and Fitters,45610,51330,61250,72280,https://officeblues.net/salaries/structural-metal-fabricators-and-fitters-51-2041
21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",47100,59350,76530,97590,https://officeblues.net/salaries/substance-abuse-behavioral-disorder-and-mental-health-counselors-21-1018
25-3031,"Substitute Teachers, Short-Term",34170,41670,54890,65790,https://officeblues.net/salaries/substitute-teachers-short-term-25-3031
53-4041,Subway and Streetcar Operators,61980,86380,90140,90140,https://officeblues.net/salaries/subway-and-streetcar-operators-53-4041
29-1249,"Surgeons, All Other",134850,414010,511420,655320,https://officeblues.net/salaries/surgeons-all-other-29-1249
29-9093,Surgical Assistants,50170,66800,88010,107610,https://officeblues.net/salaries/surgical-assistants-29-9093
29-2055,Surgical Technologists,54690,64650,79750,96940,https://officeblues.net/salaries/surgical-technologists-29-2055
19-3022,Survey Researchers,51270,69460,99760,130860,https://officeblues.net/salaries/survey-researchers-19-3022
17-3031,Surveying and Mapping Technicians,45430,54240,66700,81630,https://officeblues.net/salaries/surveying-and-mapping-technicians-17-3031
17-1022,Surveyors,58170,75440,98130,125590,https://officeblues.net/salaries/surveyors-17-1022
43-2011,"Switchboard Operators, Including Answering Service",34820,38630,46530,59470,https://officeblues.net/salaries/switchboard-operators-including-answering-service-43-2011
51-6052,"Tailors, Dressmakers, and Custom Sewers",35230,41640,50200,63670,https://officeblues.net/salaries/tailors-dressmakers-and-custom-sewers-51-6052
53-7121,"Tank Car, Truck, and Ship Loaders",46300,58870,70060,83160,https://officeblues.net/salaries/tank-car-truck-and-ship-loaders-53-7121
47-2082,Tapers,52730,68270,88540,107110,https://officeblues.net/salaries/tapers-47-2082
13-2081,"Tax Examiners and Collectors, and Revenue Agents",49450,62370,83390,114550,https://officeblues.net/salaries/tax-examiners-and-collectors-and-revenue-agents-13-2081
13-2082,Tax Preparers,38910,54920,76300,99270,https://officeblues.net/salaries/tax-preparers-13-2082
53-3054,Taxi Drivers,37790,42100,60960,75800,https://officeblues.net/salaries/taxi-drivers-53-3054
25-3099,"Teachers and Instructors, All Other",48490,66140,95890,118020,https://officeblues.net/salaries/teachers-and-instructors-all-other-25-3099
25-9045,"Teaching Assistants, Except Postsecondary",31060,36780,45360,50040,https://officeblues.net/salaries/teaching-assistants-except-postsecondary-25-9045
25-9044,"Teaching Assistants, Postsecondary",35270,42910,60510,76420,https://officeblues.net/salaries/teaching-assistants-postsecondary-25-9044
27-3042,Technical Writers,70880,90390,115510,145270,https://officeblues.net/salaries/technical-writers-27-3042
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",51830,63890,81690,96730,https://officeblues.net/salaries/telecommunications-equipment-installers-and-repairers-except-line-installers-49-2022
49-9052,Telecommunications Line Installers and Repairers,54310,74330,95850,103680,https://officeblues.net/salaries/telecommunications-line-installers-and-repairers-49-9052
41-9041,Telemarketers,29640,35450,40230,50350,https://officeblues.net/salaries/telemarketers-41-9041
43-2021,Telephone Operators,36920,41740,51510,62950,https://officeblues.net/salaries/telephone-operators-43-2021
43-3071,Tellers,37040,43030,46580,49680,https://officeblues.net/salaries/tellers-43-3071
47-2053,Terrazzo Workers and Finishers,54830,76170,114780,126130,https://officeblues.net/salaries/terrazzo-workers-and-finishers-47-2053
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,35680,38180,45280,48100,https://officeblues.net/salaries/textile-bleaching-and-dyeing-machine-operators-and-tenders-51-6061
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",34230,38760,45220,49420,https://officeblues.net/salaries/textile-cutting-machine-setters-operators-and-tenders-51-6062
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",36390,39530,45220,49130,https://officeblues.net/salaries/textile-knitting-and-weaving-machine-setters-operators-and-tenders-51-6063
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",36420,38670,42940,49420,https://officeblues.net/salaries/textile-winding-twisting-and-drawing-out-machine-setters-operators-and-tenders-51-6064
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",34320,37280,44620,52730,https://officeblues.net/salaries/textile-apparel-and-furnishings-workers-all-other-51-6099
29-1129,"Therapists, All Other",58850,77930,105760,152530,https://officeblues.net/salaries/therapists-all-other-29-1129
47-2044,Tile and Stone Setters,45200,55690,70220,86110,https://officeblues.net/salaries/tile-and-stone-setters-47-2044
51-9197,Tire Builders,47900,57390,64380,74680,https://officeblues.net/salaries/tire-builders-51-9197
49-3093,Tire Repairers and Changers,34690,37710,45300,50230,https://officeblues.net/salaries/tire-repairers-and-changers-49-3093
23-2093,"Title Examiners, Abstractors, and Searchers",47420,58650,74810,90830,https://officeblues.net/salaries/title-examiners-abstractors-and-searchers-23-2093
51-4111,Tool and Die Makers,51490,64050,78770,92680,https://officeblues.net/salaries/tool-and-die-makers-51-4111
51-4194,"Tool Grinders, Filers, and Sharpeners",40800,50060,62150,77170,https://officeblues.net/salaries/tool-grinders-filers-and-sharpeners-51-4194
39-7010,Tour and Travel Guides,32910,38120,47700,60930,https://officeblues.net/salaries/tour-and-travel-guides-39-7010
53-6041,Traffic Technicians,46440,59090,75850,85130,https://officeblues.net/salaries/traffic-technicians-53-6041
11-3131,Training and Development Managers,101850,133000,176870,233600,https://officeblues.net/salaries/training-and-development-managers-11-3131
13-1151,Training and Development Specialists,50110,69280,95050,123250,https://officeblues.net/salaries/training-and-development-specialists-13-1151
33-3052,Transit and Railroad Police,68990,90230,119290,125910,https://officeblues.net/salaries/transit-and-railroad-police-33-3052
53-6051,Transportation Inspectors,58780,92100,108890,138670,https://officeblues.net/salaries/transportation-inspectors-53-6051
33-9093,Transportation Security Screeners,57050,66770,72820,78350,https://officeblues.net/salaries/transportation-security-screeners-33-9093
53-6099,"Transportation Workers, All Other",38240,45650,60400,79540,https://officeblues.net/salaries/transportation-workers-all-other-53-6099
